date,lastSyncTime,steps,distance,runDistance,calories
2020-09-08,1599622141,862,596,34,20
2020-09-09,1599707644,3687,2550,351,98
2020-09-10,1599793262,3235,2238,254,79
2020-09-11,1599885483,11208,8743,396,330
2020-09-12,1600032778,6827,4741,656,182
2020-09-13,1600053305,7791,5415,443,192
2020-09-14,1600139162,9050,7368,279,283
2020-09-15,1600226108,7899,6340,134,240
2020-09-16,1600313167,8298,6647,189,247
2020-09-17,1600398361,8354,6561,786,263
2020-09-18,1600484761,9813,7585,660,292
2020-09-19,1600571625,10292,8303,290,327
2020-09-20,1600657801,4470,3093,380,106
2020-09-21,1600757891,3603,2525,287,95
2020-09-22,1600830181,2530,1750,275,66
2020-09-23,1600958575,2683,1870,247,71
2020-09-24,1600996420,9359,7407,986,289
